Country,Animal fats,Animal Products,Eggs,"Fish, Seafood",Meat,Offals,Cereals - Excluding Beer,Oilcrops,Pulses,Spices,Starchy Roots,Sugar Crops,Vegetable Oils,Vegetables,Vegetal Products,Fruits - Excluding Wine,Treenuts,Milk - Excluding Butter,Miscellaneous,Stimulants,Sugar & Sweeteners
Belgium,12.6234,26.7378,1.1703,0.6188,5.6817,0.1379,1.3531,0.5226,0.0353,0.0994,0.077,0,19.3504,0.2982,23.2622,0.2373,1.2056,6.5057,0,0.0834,0
Belize,9.8102,23.7877,0.6759,0.4155,10.3435,0.031,3.051,1.4511,0.3783,0.0496,0.031,0,19.3538,0.2108,26.2123,0.3039,0.3845,2.5053,0.1984,0.8062,0
Benin,0.4816,6.1742,0.2064,0.8599,3.2849,0.0946,4.6952,7.3007,0.6535,2.597,1.0835,0,24.8775,0.3612,43.8301,0.1978,1.9176,1.2469,0.0258,0.1118,0
Bolivia,4.1685,30.4177,1.5174,0.1831,21.1476,0.1395,2.7296,1.3604,0.2093,0.1483,0.4796,0,12.3485,0.1919,19.5779,0.5407,0.7413,3.2703,0.0436,0.7849,0
Bosnia and Herzegovina,2.4453,24.6478,0.8354,0.3049,9.6957,0.1037,3.6588,0.9208,0.2012,2.2196,0.1342,0,13.2996,0.7866,25.3552,0.5976,0.9574,11.2629,0.0915,2.4819,0
Botswana,4.131,16.9634,0.2697,0.3622,3.4759,0.2081,7.183,1.1715,0.1156,0.5472,0.1927,0,22.3815,0.185,33.0328,0.1696,0.1541,8.5241,0.1927,0.7399,0
Brazil,4.3627,24.8515,0.7706,0.1886,14.292,0.0763,1.1278,1.7097,0.2528,0.008,0.1204,0.0361,21.2153,0.1204,25.1445,0.2528,0.1766,5.1654,0,0.1164,0.012
Bulgaria,8.0274,27.1456,1.2201,0.3404,9.3523,0.2356,1.8485,1.6547,0.0471,0.6179,0.0367,0,17.5787,0.2461,22.8518,0.2723,0.3404,7.9698,0.0262,0.1885,0
Burkina Faso,0.5981,7.2367,0.4061,0.3692,3.5741,0.1255,10.5524,11.9406,0.5391,0.096,0.0369,0,19.1774,0.0665,42.7706,0.0443,0.2658,2.1636,0.0148,0.0222,0
Cabo Verde,4.2923,21.9578,0.8468,0.5256,9.9204,0.0803,5.1318,1.4819,0.4526,0.9709,0.0949,0,18.6656,0.3066,28.0385,0.1898,0.1752,6.2851,0.1679,0.4161,0
Cambodia,0.8839,18.851,0.5639,4.8461,11.7799,0.1372,9.4179,8.2902,0.2743,0.5029,0.3657,0.0762,11.2313,0.2591,31.149,0.2438,0.3048,0.6248,0.1372,0.061,0
